Product Name,Selling Price,Original Price,Discount,Rating,Rating Count
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 H...","₹43,990","₹54,990",20% off,4.3,"7,201 Ratings & 512 Reviews"
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 ...,"₹48,990","₹53,790",8% off,4.3,20 Ratings & 0 Reviews
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop,"₹41,200","₹60,990",32% off,4.1,109 Ratings & 8 Reviews
MSI Stealth 17 Intel Core i7 13th Gen 13700H - (16 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,"₹2,79,990","₹3,47,990",19% off,N/A,N/A
ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Window...,"₹66,990","₹89,990",25% off,4.3,"4,909 Ratings & 380 Reviews"
ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (32 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7209...,"₹79,990","₹1,29,990",38% off,4.4,48 Ratings & 2 Reviews
Colorful P15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,"₹77,999","₹1,19,999",35% off,4.3,126 Ratings & 18 Reviews
Apple MacBook Air M4 - (24 GB/512 GB SSD/macOS Sequoia) MC6C4HN/A,"₹1,32,990","₹1,39,900",4% off,4.7,"2,624 Ratings & 175 Reviews"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Ho...","₹35,990","₹54,990",34% off,4.3,"7,201 Ratings & 512 Reviews"
MSI Crosshair A17 HX D8W AMD Ryzen 9 16 Core 8940HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,"₹1,79,990","₹2,01,990",10% off,N/A,N/A
MSI Katana 15 HX B14 Intel Core i5 14450HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,"₹96,999","₹1,14,990",15% off,4.3,24 Ratings & 4 Reviews
DELL G3 Intel Core i7 10th Gen 10750H - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce...,"₹1,03,799","₹1,12,516",7% off,3.9,36 Ratings & 8 Reviews
HP Pavilion Plus Metal Body Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14-EW010...,"₹64,990","₹92,746",29% off,3,5 Ratings & 0 Reviews
